Speed,Torque,Inj Pressure,Inj Duration,SOI,Inj Mass,Final Torque,AreaFault
1300,150,5161379.243,1.2,359.5594692,6.023767415,149.7200612,0.9
1300,200,5706368.362,1.2,366.2403849,7.371083114,199.7253627,0.9
1300,250,6641265.747,1.2,362.9154363,8.642234663,249.7327474,0.9
1300,300,8566904.521,1.2,365.584268,10.076891,299.9929822,0.9
1300,350,10462899.3,1.2,362.2746853,11.44721487,349.7933623,0.9
1300,400,11973751.87,1.2,364.4367764,13.05317004,399.991237,0.9
1300,450,13210166.1,1.2,361.8091725,14.6870494,449.0460933,0.9
1300,500,14661183.79,1.2,361.1683447,16.96591875,499.725896,0.9
1400,100,4603913.076,1.2,359.5951676,5.297418837,99.76337446,0.9
1400,150,5.03E+06,1.2,361.4764485,6.722916478,149.9152802,0.9
1400,200,5743690.229,1.2,361.7861079,8.139007608,199.7729517,0.9
1400,250,6911027.82,1.2,361.3388868,9.575194594,249.7307631,0.9
1400,300,8767439.3,1.2,363.6810244,11.06931089,299.7854545,0.9
1400,350,10715077.82,1.2,363.6728872,12.63063169,349.7642279,0.9
1400,400,12236211.8,1.2,359.5935808,14.29351029,399.8909649,0.9
1400,450,13438860.87,1.2,361.0725575,16.20419743,449.7879592,0.9
1400,500,14866830.39,1.2,360.9491237,18.96592865,499.8079224,0.9
1500,100,4.58E+06,1.2,359.077,5.9522,99.7187,0.9
1500,150,5078731.617,1.2,360.5904698,7.497374845,149.747442,0.9
1500,200,5906299.228,1.2,360.6155064,9.025962472,199.7618499,0.9
1500,250,7.23E+06,1.2,361.2886478,10.55037411,249.726375,0.9
1500,300,9239145.412,1.2,360.7970257,12.11626967,299.7255333,0.9
1500,350,11330669.44,1.2,356.9784713,13.91787079,349.9043215,0.9
1500,400,1.24E+07,1.2,360.0938662,15.59795743,399.7471527,0.9
1500,450,13655068.29,1.2,359.4192608,17.77642812,449.814038,0.9
1500,500,15213221.16,1.2,358.5054292,21.18304352,499.7755388,0.9
1600,100,4561261.756,1.2,358.6515603,6.656120854,99.85412029,0.9
1600,150,5101835.344,1.2,359.9122999,8.321700444,149.8305002,0.9
1600,200,5.99E+06,1.2,360.2840039,9.934613646,199.76826,0.9
1600,250,7.45E+06,1.2,360.7977719,11.53568728,249.7225677,0.9
1600,300,9559076.53,1.2,364.4072715,13.35939779,300.1853319,0.9
1600,350,11591079.58,1.2,356.0998686,15.14259706,349.8663152,0.9
1600,400,12610129.13,1.2,362.529736,17.17275396,399.9865786,0.9
1600,450,13856804.04,1.2,358.5018997,19.46146845,449.7193351,0.9
1600,500,15703959.18,1.2,358.716404,24.11951548,499.8942641,0.9
1000,100,4645823.766,1.2,365.7342783,3.194556593,99.79770817,1
1000,150,4.90E+06,1.2,365.7318,4.1803,149.7232,1
1000,200,5259208.293,1.2,365.2108424,5.221715881,199.7296123,1
1000,250,5871950.819,1.2,366.2590593,6.299787529,249.7659743,1
1000,300,6721788.425,1.2,366.022424,7.415419908,299.7374434,1
1000,350,8023186.893,1.2,365.1885244,8.565262292,349.7254488,1
1000,400,9951913.527,1.2,365.2582833,9.765076867,399.7133105,1
1000,450,11658371.74,1.2,364.9642242,11.0197446,449.7517937,1
1000,500,13068538.7,1.2,365.1839163,12.41255089,499.7233685,1
1100,100,4674269.318,1.2,364.3717322,3.645949364,99.75638077,1
1100,150,4.94E+06,1.2,363.5755582,4.755464173,149.7880373,1
1100,200,5509531.743,1.2,369.2016826,5.953597776,199.9355148,1
1100,250,6.01E+06,1.2,360.799872,7.077223979,249.9096605,1
1100,300,7214303.878,1.2,368.684113,8.29428211,300.0696896,1
1100,350,8719520.778,1.2,359.7950165,9.574130758,349.9471937,1
1100,400,10290262.39,1.2,363.9737851,10.70745914,399.967918,1
1100,450,11847484.57,1.2,362.7218833,12.0841676,449.7895087,1
1100,500,13227717.5,1.2,362.9947849,13.69302022,499.7223277,1
1200,100,4.63E+06,1.2,362.4410219,4.112390671,99.73248712,1
1200,150,4999935.122,1.2,364.3025988,5.344617294,149.803833,1
1200,200,5459937.94,1.2,364.1844501,6.55050028,199.7433499,1
1200,250,6053217.206,1.2,362.7350312,7.79854605,250.1740303,1
1200,300,7150465.67,1.2,364.8433483,9.072551796,299.9949087,1
1200,350,8834627.405,1.2,363.7787276,10.37942616,349.7401966,1
1200,400,10512817.99,1.2,360.9388453,11.82051287,399.7979286,1
1200,450,12135650.82,1.2,361.1793507,13.34053229,449.7387263,1
1200,500,13562676.74,1.2,359.1415139,15.43606852,499.8622853,1
1300,100,4618694.601,1.2,358.6786388,4.617405541,99.90073608,1
1300,150,4.79E+06,1.2,362.4103442,5.997093677,149.7693312,1
1300,200,5257466.519,1.2,362.7422678,7.308491097,199.752143,1
1300,250,5999414.979,1.2,362.6776549,8.643649724,249.7985204,1
1300,300,7017536.17,1.2,362.6142628,10.01446273,299.7542813,1
1300,350,9462782.738,1.2,358.4805821,11.57418907,349.7573847,1
1300,400,10743867.96,1.2,362.6565696,12.98705632,399.8111076,1
1300,450,12389199.78,1.2,358.630169,14.8349654,449.8844911,1
1300,500,13749363.71,1.2,359.9612541,17.00364039,499.748812,1
1400,100,4619770.774,1.2,352.8998581,5.259592294,99.84266911,1
1400,150,4771046.504,1.2,361.9027453,6.719885289,149.7725101,1
1400,200,5.29E+06,1.2,361.9953738,8.139723235,199.7818442,1
1400,250,6065488.596,1.2,361.9335465,9.574527278,249.7611549,1
1400,300,7400136.919,1.2,360.1369366,11.06792664,299.7661103,1
1400,350,9550493.963,1.2,358.3357325,12.68436135,349.8071395,1
1400,400,11021620.38,1.2,359.8299473,14.28299721,399.7953864,1
1400,450,12407694.29,1.2,360.5836845,16.19723089,449.740013,1
1400,500,14011696.35,1.2,359.7525641,18.92173616,499.7273069,1
1500,100,4370529.044,1.2,361.2300467,5.958356994,99.81306041,1
1500,150,4780093.964,1.2,360.9909994,7.497786036,149.7334815,1
1500,200,5363830.334,1.2,361.1168855,9.024757999,199.7454335,1
1500,250,6230297.535,1.2,361.5061482,10.5499339,249.7081039,1
1500,300,7636535.466,1.2,361.759423,12.11769247,299.7446678,1
1500,350,9601894.668,1.2,360.5557239,13.78229337,349.9350014,1
1500,400,11275317.28,1.2,359.6539795,15.60388248,399.8316363,1
1500,450,1.27E+07,1.2,359.4981842,17.77200444,449.7363735,1
1500,500,14308561.18,1.2,358.217269,21.18985031,499.809642,1
1600,100,4.37E+06,1.2,358.7863,6.6552,99.8409,1
1600,150,4.69E+06,1.2,362.7887598,8.356158452,149.7158406,1
1600,200,5364023.882,1.2,360.718615,9.932517381,199.7295634,1
1600,250,6278960.018,1.2,361.5073915,11.53947025,249.7564343,1
1600,300,8001048.79,1.2,359.4949666,13.21141308,299.7987491,1
1600,350,9959970.097,1.2,359.1096318,14.99130737,349.7170293,1
1600,400,11455441.46,1.2,360.5262062,17.01214046,399.9813062,1
1600,450,12919401.96,1.2,361.110359,19.65825373,449.8116301,1
1600,500,14746394.21,1.2,356.8153723,23.8204302,499.7458666,1
